ICB plus Code,BNF Chemical Substance plus Code,Spend per Patient_202412,Spend per Patient_202512,% Spend Change,Items per Patient_202412,Items per Patient_202512,% Items Change,Spend per Item_202412,Spend per Item_202512,% Spend per Item Change
England,Brinzolamide/brimonidine (1106000AL),0.003141,0.003348,6.6,0.000241,0.000253,5.1,13.030233,13.217844,1.4
England,Brivaracetam (0408010AL),0.025367,0.034523,36.1,0.000208,0.000286,37.6,121.975668,120.643237,-1.1
England,Bromfenac (1108020AG),0.000122,0.000114,-6.3,1.2e-05,1.1e-05,-10.7,10.191988,10.695523,4.9
England,Bromocriptine (0607010B0),0.001463,0.000925,-36.8,1.1e-05,1.1e-05,-4.1,128.371517,84.594222,-34.1
England,Budesonide (0105020A0),0.010923,0.012768,16.9,0.000126,0.000141,11.7,86.615045,90.623626,4.6
England,Budesonide (0302000K0),0.172915,0.224569,29.9,0.00528,0.006961,31.8,32.750926,32.259948,-1.5
England,Budesonide (1202010I0),0.000941,0.000993,5.5,7.6e-05,7.1e-05,-7.4,12.339344,14.063409,14.0
England,Bumetanide (0202020D0),0.012933,0.012305,-4.9,0.002505,0.00262,4.6,5.16277,4.696499,-9.0
England,Bupivacaine hydrochloride (1502010C0),0.000151,0.000138,-8.3,3.5e-05,3.7e-05,5.7,4.346037,3.770784,-13.2
England,Buprenorph hydrochloride/naloxone hydrochloride (0410030B0),0.000171,0.000141,-17.7,5e-06,4e-06,-21.0,34.452469,35.900354,4.2
England,Buprenorphine (0407020B0),0.062959,0.063504,0.9,0.0036,0.00382,6.1,17.487764,16.623334,-4.9
England,Buprenorphine hydrochloride (0410030A0),0.034244,0.037499,9.5,0.00135,0.001397,3.4,25.357634,26.84808,5.9
England,Bupropion hydrochloride (0410020A0),0.002167,0.002062,-4.9,6.2e-05,5.9e-05,-5.9,34.839543,35.229009,1.1
England,Buserelin (0607020B0),2e-06,0.0,-100.0,0.0,0.0,-100.0,105.1724,0.0,-100.0
England,Buserelin (0803042B0),1e-06,0.0,-100.0,0.0,0.0,-100.0,65.314681,0.0,-100.0
England,Buspirone hydrochloride (0401020B0),0.002562,0.002071,-19.2,0.00032,0.000353,10.3,7.997376,5.860737,-26.7
England,Cabergoline (0409010U0),0.000419,0.000495,18.0,5e-06,6e-06,7.8,77.71595,85.071013,9.5
England,Cabergoline (0607010C0),0.002175,0.001878,-13.7,0.000114,0.000122,7.2,19.145887,15.417683,-19.5
England,Caffeine (0404000D0),0.0,1e-06,77.6,0.0,0.0,33.0,3.627504,4.845341,33.6
England,Calamine (1303000D0),9e-05,0.000126,40.0,4.4e-05,4.4e-05,0.3,2.05476,2.867486,39.6
England,Calcifediol (0906040Q0),4e-06,6e-06,50.2,1e-06,2e-06,107.7,5.294154,3.82675,-27.7
England,Calcipotriol (1305020D0),0.073046,0.075275,3.1,0.00153,0.001571,2.7,47.730175,47.902569,0.4
England,Calcitonin (Salmon) (0606010T0),2.2e-05,0.000112,416.3,0.0,0.0,99.4,688.9424,1783.5124,158.9
England,Calcitriol (0906040C0),0.000551,0.000565,2.5,4.8e-05,4.9e-05,2.3,11.391972,11.417533,0.2
England,Calcitriol (1305020W0),0.00044,0.000446,1.5,2.3e-05,2.3e-05,2.7,19.490177,19.264459,-1.2
England,Calcium acetate (0905022C0),0.000789,0.00086,8.9,0.000102,0.000116,13.9,7.755707,7.413336,-4.4
England,Calcium acetate/magnesium carbonate (0905022U0),0.000174,2e-06,-98.8,1.3e-05,0.0,-97.8,13.287628,7.611272,-42.7
England,Calcium carbonate (0101021C0),0.000334,0.000231,-30.9,1.3e-05,1.5e-05,11.1,25.072093,15.604694,-37.8
England,Calcium carbonate (0905011D0),0.003106,0.003258,4.9,0.000563,0.0006,6.6,5.514584,5.426403,-1.6
England,Calcium folinate (0801000I0),0.000679,0.000665,-2.0,4e-06,4e-06,8.1,182.631725,165.430894,-9.4
England,Calcium gluconate (0905011K0),3.9e-05,3.9e-05,1.3,2e-06,1e-06,-12.5,23.316762,27.0028,15.8
England,Calcium lactate (0905011R0),0.0,0.0,-100.0,0.0,0.0,-100.0,1.565884,0.0,-100.0
England,Calcium polystyrene sulfonate (0902011L0),0.000142,0.00012,-16.0,1e-06,1e-06,-16.9,137.700279,139.225855,1.1
England,Camellia sinensis extract (1307000W0),1.5e-05,1.1e-05,-25.2,0.0,0.0,-52.8,49.275558,78.0124,58.3
England,Canagliflozin (0601023AM),0.04465,0.045608,2.1,0.001125,0.001151,2.3,39.692204,39.615847,-0.2
England,Canagliflozin/metformin (0601023AP),0.000408,0.00037,-9.4,1e-05,9e-06,-6.6,42.323663,41.065124,-3.0
England,Candesartan cilexetil (0205052C0),0.021093,0.018382,-12.8,0.011395,0.012453,9.3,1.850982,1.476187,-20.2
England,Cannabidiol (0408010AM),0.000177,0.000202,14.0,0.0,0.0,28.2,1615.545612,1436.304143,-11.1
England,Capecitabine (0801030V0),0.0,6e-06,20512.5,0.0,0.0,199.2,1.9924,137.279067,6790.1
England,Capsaicin (1003020AA),0.003271,0.005686,73.8,5.2e-05,3.9e-05,-26.0,62.337103,146.391537,134.8
England,Capsules delisted probiotic (0913531) (0913531B0),6e-06,7e-06,7.2,0.0,0.0,15.1,31.053103,28.943733,-6.8
England,Captopril (0205051F0),0.003325,0.00259,-22.1,5.2e-05,5e-05,-4.0,64.428595,52.273408,-18.9
England,Carbamazepine (0408010C0),0.016655,0.016793,0.8,0.002734,0.002778,1.6,6.091879,6.045455,-0.8
England,Carbimazole (0602020D0),0.005908,0.003651,-38.2,0.001001,0.0011,9.9,5.902352,3.319081,-43.8
England,Carbocisteine (0307000J0),0.022788,0.036806,61.5,0.005228,0.005676,8.6,4.359044,6.484732,48.8
England,Carbomer (1108030AA),4.5e-05,2.8e-05,-37.8,5e-06,3e-06,-38.0,8.583887,8.612356,0.3
England,Carbomer 940/980 (1108010B0),0.005061,0.005132,1.4,0.001336,0.001316,-1.5,3.788305,3.89868,2.9
England,Carbomer 974P (1108010Z0),0.000161,0.000169,4.9,2.8e-05,3e-05,6.6,5.689542,5.599567,-1.6
England,Cariprazine (0402010AJ),0.000688,0.000971,41.2,1e-05,1.5e-05,52.3,67.684164,62.746692,-7.3
England,Carmellose sodium (1108010D0),0.0054,0.005354,-0.8,0.000531,0.000516,-2.8,10.167861,10.368,2.0
England,Carvedilol (020400080),0.001782,0.001594,-10.5,0.001002,0.001106,10.5,1.778825,1.440877,-19.0
England,Catheter Maintenance Products (2113),0.011145,0.012295,10.3,0.000312,0.000332,6.2,35.712326,37.084592,3.8
England,Catheter Valves (2205),0.003373,0.003572,5.9,0.000189,0.000202,6.6,17.818535,17.706277,-0.6
England,Catheters (2102),0.240924,0.256992,6.7,0.00179,0.001923,7.4,134.599834,133.649573,-0.7
England,Cefaclor (0501021A0),5.7e-05,5e-05,-13.1,4e-06,4e-06,-16.3,13.569539,14.085354,3.8
England,Cefadroxil (0501021B0),1.3e-05,1e-05,-17.6,1e-06,0.0,-36.5,24.478274,31.783314,29.8
England,Cefalexin (0501021L0),0.003744,0.003362,-10.2,0.001205,0.001291,7.2,3.10766,2.603616,-16.2
England,Cefixime (0501021C0),4e-05,3.7e-05,-7.0,1e-06,1e-06,-13.2,32.769988,35.117672,7.2
England,Cefotaxime sodium (0501021D0),1e-06,0.0,-100.0,0.0,0.0,-100.0,24.002136,0.0,-100.0
England,Cefradine (0501021M0),0.000374,0.000367,-1.9,1.3e-05,1.3e-05,-5.7,28.178845,29.30929,4.0
England,Ceftazidime pentahydrate (0501021H0),1.9e-05,8e-06,-59.0,0.0,0.0,-33.5,201.090606,123.965915,-38.4
England,Ceftriaxone sodium (0501021G0),2.9e-05,3.2e-05,8.4,1e-06,1e-06,-16.1,42.551481,55.022032,29.3
England,Cefuroxime axetil (0501021K0),5.6e-05,5.2e-05,-8.6,3e-06,3e-06,-17.9,17.203872,19.158299,11.4
England,Cefuroxime sodium (0501021J0),0.0,6e-06,15143.4,0.0,0.0,99.4,2.506374,191.565263,7543.1
